Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,APD,0,0,0,0,46620000000.0,47560000000.0,24.83,23.75,1.71,5.24,4.03,5.3,12.61,21.66,25.29,7.32,17.33,8980000000.0,40.66,1.3,2940000000.0,3420000000.0,1960000000.0,8.75,13.4,2250000000.0,10.2,3710000000.0,31.61,2.6,51.49,2920000000.0,388020000.0,0.86,204.09,225.39,1500000.0,220860000.0,220090000.0,0.25,86.08,2310000.0,1.3,1.05,2680000.0
0,0,APH,0,0,0,0,24850000000.0,27550000000.0,22.88,23.98,2.52,3.18,5.66,3.39,14.89,13.9,19.24,8.77,26.4,8130000000.000001,27.34,-4.9,2620000000.0,1860000000.0,1130000000.0,3.67,-9.5,2380000000.0,8.06,5090000000.0,114.55,2.54,14.82,1540000000.0,1080000000.0,1.18,77.44,96.36,2190000.0,295890000.0,294310000.0,0.52,98.76,3310000.0,1.21,1.51,2990000.0
0,0,APOL,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ARG,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ARNA,0,0,0,0,2480000000.0,1790000000.0,6.42,,,3.16,2.32,2.22,3.47,49.3,61.67,33.4,47.39,806430000.0,16.2,-65.3,574930000.0,500550000.0,397560000.0,7.69,,739560000.0,14.72,62130000.0,5.8,16.9,21.36,568690000.0,367320000.0,1.33,44.45,46.8,50300000.0,50300000.0,50180000.0,0.15,83.69,4240000.0,5.85,8.43,3750000.0
0,0,ARO,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ATI,0,0,0,0,821810000.0,1730000000.0,3.51,38.17,1.76,0.23,0.39,0.42,3.32,6.25,7.2,3.33,12.91,4120000000.0,32.77,-1.9,637800000.0,433600000.0,257600000.00000003,1.85,37.5,490800000.0,3.89,1480000000.0,67.39,2.71,16.58,230100000.0,167160000.0,2.3,8.17,17.26,2710000.0,126630000.0,124540000.0,21.75,0.0,11590000.0,3.12,11.9,14060000.0
0,0,ATVI,0,0,0,0,50680000000.0,47560000000.0,33.78,27.62,2.18,7.83,3.96,7.33,20.9,23.16,26.88,5.78,12.42,6490000000.0,8.46,-16.6,4400000000.0,2069999999.9999998,1500000000.0,1.95,-23.5,5860000000.0,7.62,2950000000.0,23.02,2.5,16.66,1830000000.0,2140000000.0000002,0.61,60.32,58.44,8690000.0,768260000.0,760280000.0,1.37,92.52,15740000.0,1.58,,20120000.0
0,0,AVB,0,0,0,0,22160000000.0,29560000000.0,27.97,31.85,3.84,9.45,2.02,12.71,19.77,33.77,35.68,2.77,7.27,2330000000.0,16.74,2.8,1560000000.0,1490000000.0,783910000.0,5.63,-56.5,39690000.0,0.28,7440000000.0,67.65,0.5,78.31,1320000000.0,1070000000.0000001,0.86,157.76,200.05,1180000.0,140740000.0,139860000.0,0.27,96.83,1900000.0,1.22,1.84,2029999.9999999998
0,0,AVP,0,0,0,0,2480000000.0,4269999999.9999995,,13.66,,0.5,,0.86,14.01,-0.46,6.56,6.61,,4950000000.0,11.19,-16.6,3300000000.0,392700000.0,-19400000.0,-0.12,-6.6,564200000.0,1.27,1890000000.0,,1.2,-1.99,40900000.0,208450000.0,1.86,5.6,4.76,156640000.0,443010000.0,378900000.0,1.01,80.68,18100000.0,2.68,4.59,16450000.0
0,0,AVY,0,0,0,0,8890000000.0,10580000000.0,29.9,16.58,2.62,1.28,7.38,1.5,20.97,4.29,11.56,9.58,28.12,7070000000.0,84.17,0.2,1900000000.0,975300000.0,303600000.0,3.57,67.4,283900000.0,3.41,2080000000.0,172.74,1.04,14.44,746500000.0,394710000.0,1.31,104.0,122.73,83300000.0,83300000.0,82700000.0,0.67,91.76,1090000.0,1.44,1.48,1360000.0
0,0,AXP,0,0,0,0,67019999999.99999,,10.41,12.32,1.2,2.23,2.9,,,14.63,18.55,2.91,25.8,38120000000.0,46.51,-19.5,27320000000.0,,5450000000.0,6.63,-76.3,37410000000.0,46.47,56240000000.0,267.72,1.8,26.09,2870000000.0,,1.21,85.28,113.52,7260000.0,804970000.0,651290000.0,0.1,87.02,11190000.0,1.19,1.71,11840000.0
